galaxy,r_max,M_bar_max,V_max,g0,mass_norm,slope_3,slope_5,slope_8,slope_original,slope_g_schwach,delta_g_schwach,slope_g_mittel,delta_g_mittel,slope_g_stark,delta_g_stark,slope_g_phase_halb,delta_g_phase_halb,slope_g_phase_ganz,delta_g_phase_ganz,q,regime_q,groesse
NGC4389,5.32,107200.01096000001,110.0,856.6551724137933,0.042979092742523005,2.6601769487036484,2.5236931946962162,2.501923066688499,2.5236931946962162,2.524232062861274,-0.0005388681650577709,2.526048383290463,-0.002355188594246993,2.5288015285236636,-0.005108333827447353,2.5224756309545104,0.001217563741705785,2.5249089666138844,-0.0012157719176681958,,,Klein
NGC4559,20.97,144936.51412500002,124.0,2863.343283582089,0.058108575051178994,1.9731388373168492,1.959985912462687,1.8764064185281155,1.959985912462687,1.9608543275650077,-0.0008684151023206077,1.9627554107188896,-0.0027694982562025405,1.9647846710254,-0.004798758562712946,1.9640815970242986,-0.004095684561611579,1.963187517997057,-0.003201605534369989,0.3574533011746877,Peak,Uebergang
NGC5005,11.47,864686.945835,265.0,90859.1836734694,0.3466740358091791,1.149549580827309,1.1553248632531194,1.186431937582629,1.1553248632531194,1.158158880682742,-0.0028340174296226373,1.1420289284196605,0.013295934833458922,1.0891096907560138,0.06621517249710562,1.209928330116743,-0.054603466863623495,1.1693907212130226,-0.014065857959903116,2.999999985314973,Diffus,Klein
NGC5033,44.59,602173.2412500001,225.0,55836.84210526316,0.24142590426046195,1.0891989853639417,1.0850762703632855,1.0489827792181488,1.0850762703632855,1.0877640518276064,-0.0026877814643209152,1.0921977185498328,-0.007121448186547363,1.0828521160388096,0.002224154324475869,1.0982879540144421,-0.013211683651156658,1.0940738813436737,-0.008997610980388204,0.3403638093241747,Peak,Gross
NGC5055,54.59,785825.34462,206.0,21701.38888888889,0.3150565010525077,1.654893868009144,1.5541268007926186,1.4233514248363794,1.5541268007926186,1.558420764314572,-0.004293963521953437,1.564650884160631,-0.010524083368012471,1.5637814165243187,-0.009654615731700122,1.567647076608263,-0.013520275815644522,1.5654335028605304,-0.011306702067911845,0.4985595590798722,Peak,Gross
NGC5371,46.24,1953739.605584,242.0,32176.55172413793,0.7833017455051111,0.990991502203244,0.9920146955563662,1.076324971139166,0.9920146955563662,0.9978923795350896,-0.005877683978723347,1.01896932882419,-0.026954633267823658,1.01642148457533,-0.02440678901896387,1.0317933388015779,-0.03977864324521163,1.0231817308140134,-0.03116703525764719,3.0,Diffus,Gross
NGC5585,10.96,24896.350208000003,92.3,1393.7777777777776,0.009981552566624514,2.4419504101611094,2.0524066055123567,1.8826484423746233,2.0524066055123567,2.0525192722573546,-0.00011266674499799123,2.0526412580531486,-0.0002346525407919131,2.052784486059971,-0.00037788054761422885,2.0527786519545557,-0.0003720464421990144,2.052677167794833,-0.0002705622824761278,0.3238481905453884,Peak,Klein
NGC5907,50.33,1001181.4369689999,235.0,9104.572564612326,0.4013979984352708,1.2609347343215067,1.1657341531643541,1.0814329551645752,1.1657341531643541,1.1658468593507003,-0.00011270618634617868,1.1701344721708493,-0.004400319006495179,1.185164636181584,-0.019430483017229827,1.1669898341324862,-0.0012556809681321113,1.169329886296327,-0.0035957331319729224,3.0,Diffus,Gross
NGC5985,34.72,1251530.3344319998,305.0,14047.74011299435,0.5017689628194582,1.621493333498086,1.5906452388072523,1.5960049694508398,1.5906452388072523,1.5917689008322229,-0.0011236620249706064,1.6059911968795797,-0.015345958072327415,1.6325207909156971,-0.04187555210844485,1.601250177325518,-0.010604938518265827,1.6055749674266722,-0.01492972861941988,0.8521426476207469,Peak,Gross
NGC6015,29.23,200439.1593,166.0,3706.6176470588234,0.08036093597044948,2.7309715073927827,2.4529593054988394,2.1930290443053337,2.4529593054988394,2.454541924707333,-0.001582619208493341,2.4577907831262142,-0.004831477627374792,2.4623819904031983,-0.009422684904358825,2.458124998107227,-0.0051656926083873955,2.457877323080779,-0.004918017581939438,2.9999999999999964,Diffus,Uebergang
