galaxy,inner_slope,n_points_x,filename,p,q,MSE,n_points_y,regime_q,dist_to_nfw,dist_to_obs_core
NGC2403,2.433381763021532,5,NGC2403_rotmod.dat,1.010354102837303,1.1245437270657133,0.0022340615006817,73.0,Peak,0.433381763021532,0.0
NGC2683,0.9312206312417519,5,NGC2683_rotmod.dat,0.6346441970091058,2.9999999999490177,0.0349661152363698,11.0,Diffus,1.068779368758248,1.2687793687582483
NGC2841,1.4345235552015858,5,NGC2841_rotmod.dat,0.4415993106148548,2.999999999999976,0.0065768315049212,50.0,Diffus,0.5654764447984142,0.7654764447984144
NGC2903,2.7345578654883895,5,NGC2903_rotmod.dat,1.8250555592149027,0.4973205052476155,0.0036686401337029,23.0,Peak,0.7345578654883895,0.0
NGC2915,2.824269821128894,5,NGC2915_rotmod.dat,0.6404408676026918,1.6571105224464855,0.0141996799923748,27.0,Transition,0.8242698211288939,0.024269821128894087
NGC2955,1.5185689679898733,5,NGC2955_rotmod.dat,2.999999999999996,0.2337994971884741,0.0043257123662052,11.0,Peak,0.4814310320101267,0.6814310320101269
NGC2976,3.1851300936231413,5,NGC2976_rotmod.dat,1.9681419391429795,2.999999999999997,0.0032628064476654,24.0,Diffus,1.1851300936231413,0.38513009362314143
NGC2998,1.659095194887058,5,NGC2998_rotmod.dat,0.4314121557422329,3.0,0.0130047969297099,13.0,Diffus,0.34090480511294197,0.5409048051129421
NGC3109,2.690583047898626,5,NGC3109_rotmod.dat,1.963201046119353,0.7093433205593073,0.0003965850243855,25.0,Peak,0.6905830478986261,0.0
NGC3198,2.2190683708208363,5,NGC3198_rotmod.dat,0.9957679896021264,0.686976413259879,0.0024803480848587,39.0,Peak,0.2190683708208363,0.0
NGC3521,1.6776569074801488,5,NGC3521_rotmod.dat,3.0,0.3508870078125967,0.0027091416503411,32.0,Peak,0.32234309251985116,0.5223430925198513
NGC3726,1.9064663826349348,5,NGC3726_rotmod.dat,1.3709082626155122,3.0,0.0076896506680798,10.0,Diffus,0.09353361736506516,0.29353361736506534
