filename,p,q,MSE,n_points
UGC05918_rotmod.dat,1.1422860028627797,1.0926353883129318,0.0010910498867547685,8
UGC05829_rotmod.dat,1.2423517810337137,2.9999999999999996,0.0011993251474823952,11
UGC05764_rotmod.dat,2.370623227142964,0.26559138915675623,0.002560902842679431,10
UGC05750_rotmod.dat,2.1122195870835974,0.3341665565598662,0.0005488056133399566,10
UGC05721_rotmod.dat,1.0004299031604447,0.5566453478650017,0.009363296298870687,23
UGC05716_rotmod.dat,0.8336465786444122,1.3749990687518359,0.0011510596242240154,12
UGC05414_rotmod.dat,1.8361156245042212,1.0781129906484712,0.00037009619362960545,6
UGC05253_rotmod.dat,2.505732459793127,0.24139033929632253,0.038917189139896335,29
UGC05005_rotmod.dat,1.9631042036144233,0.4367852777411478,3.356540898739489e-05,11
UGC04499_rotmod.dat,1.7154852794685553,0.5569550081841629,0.001685837466566142,9
UGC04483_rotmod.dat,1.7859842226465021,0.6283569309937992,0.004068920638243527,8
UGC04325_rotmod.dat,1.3072173070020698,0.5369569448920857,0.0032845983687366936,8
UGC04305_rotmod.dat,1.0510425330198994,2.9999999999997877,0.3056349548271227,14
UGC04278_rotmod.dat,2.9999999999958655,0.4314200146856064,0.0027057709842796995,25
UGC03580_rotmod.dat,1.836144931699781,0.5563285830086061,0.002938362840713111,20
UGC03546_rotmod.dat,1.453540165319258,1.0500412246773667,0.002524548148936306,13
UGC03205_rotmod.dat,0.620736676979001,2.9999999999999982,0.010074164722076838,44
UGC02953_rotmod.dat,0.6142509419347555,2.9999999999999916,0.01643774723516968,78
UGC02916_rotmod.dat,2.9999999999999267,0.21874848348424913,0.0457660286278607,22
UGC02885_rotmod.dat,0.7419069089677269,2.9999999999965477,0.004031822382571811,18
UGC02487_rotmod.dat,0.7229043129033225,0.8221268414986266,0.007307162971122952,17
UGC02259_rotmod.dat,0.5455255201105049,2.999999999999985,0.0014949757310919192,8
UGC02023_rotmod.dat,2.999998572672308,2.9999983679879434,0.0003519936754071416,5
UGC01281_rotmod.dat,2.9999999999999996,0.30392155006534505,0.000280156273357005,23
UGC01230_rotmod.dat,0.8405918612013428,0.539570904901698,0.015610274601800344,11
UGC00891_rotmod.dat,2.2654317103267814,0.5693054948361346,0.00020740704179178499,5
UGC00731_rotmod.dat,1.0826220895300414,0.7635305574202732,0.0002293625980667683,12
UGC00191_rotmod.dat,0.9758875614116344,0.9248554316081632,0.009546100856105993,9
UGC00128_rotmod.dat,0.5726851288098951,1.8764118009610993,0.004459911549505059,22
NGC7814_rotmod.dat,2.2215792173281703,0.49836545931267995,0.003735429384127926,14
NGC7793_rotmod.dat,1.6386966816357285,0.590058244357327,0.016369745538598757,42
